영어,국어
resume,이력서
opening,공석
applicant,지원자
requirement,필요조건
meet,만족시키다
qualified,자격 있는
candidate,후보자
confidence,자신
highly,매우
professional,전문적인
interview,면접
hire,고용하다
training,훈련
reference,참고
position,일자리
achievement,성취
impressed,감명을 받은
excellent,훌륭한
eligible,자격이 있는
identify,알아보다
associate,관련시키다
condition,조건
employment,고용
lack,~이 없다
managerial,관리의
diligent,성실한
familiar,익숙한
proficiency,숙달
prospective,미래의
appeal,매력적이다
specialize,~을 전공하다
apprehensive,걱정하는
consultant,컨설턴트
entitle,자격을 주다
degree,학위
payroll,임금 대장
recruit,모집하다
certification,증명
occupation,직업
wage,임금
attire,복장
code,암호
concern,걱정
policy,규정
comply,준수하다
regulation,규정
exception,예외
adhere,지키다
severely,엄격하게
refrain,자제하다
permission,허가
access,접근
thoroughly,철저하게
revise,수정하다
approach,접근법
approval,승인
form,양식
immediately,즉시
inspection,점검
arragement,준비
procedure,절차
negative,부정적인
mandate,명령하다
effect,효과
drastically,심하게
enable,가능하게 하다
standard,기준
constant,지속적인
act,행동
compensation,보상
ban,금지
obligation,의무
authorize,권한을 부여하다
prohibit,금지하다
abolish,폐지하다
enforce,시행하다
habit,습관
legislation,법률
restrict,한정하다
accustomed,익숙한
corporation,법인
demanding,힘든
colleague,동료
division,부서
request,요청
efficiently,효율적으로
manage,~을 경영하다
submit,제출하다
directly,곧바로
remind,일깨우다
instruct,지시하다
deadline,마감일
sample,견본
notify,알리다
perform,실행하다
monitor,감독하다
deserve,~할 만하다
assignment,과제
entire,전체의
release,발표하다
extension,연기
electronically,컴퓨터로
attendance,출근
absolutely,절대적으로
delegate,대표
attentively,주의 깊게
supervision,감독
workshop,워크숍
draw,끌다
revision,수정
reluctantly,마지못해
acquiant,~에게 숙지시키다
convey,전달하다
check,확인하다
headquarters,본부
file,정리하다
oversee,감독하다
involved,관여하는
concentrate,집중하다
